threshold,seed,converged,episodes,restarts
3.2,16,False,2000,19
3.5,16,False,2000,19
3.8,16,False,2000,19
4.0,16,False,2000,19
4.5,16,False,2000,19
5.0,16,False,2000,19
6.0,16,False,2000,19
0.0,17,False,2000,0
1.0,17,False,2000,0
2.0,17,True,934,1
2.5,17,True,1134,2
2.8,17,False,2000,2
3.0,17,True,876,4
3.2,17,True,1722,13
3.5,17,True,1921,15
3.8,17,False,2000,19
4.0,17,False,2000,19
4.5,17,False,2000,19
5.0,17,False,2000,19
6.0,17,False,2000,19
0.0,18,False,2000,0
1.0,18,False,2000,0
2.0,18,False,2000,0
2.5,18,False,2000,1
2.8,18,False,2000,3
3.0,18,False,2000,10
3.2,18,False,2000,19
3.5,18,False,2000,19
3.8,18,False,2000,19
4.0,18,False,2000,19
4.5,18,False,2000,19
5.0,18,False,2000,19
6.0,18,False,2000,19
0.0,19,False,2000,0
1.0,19,False,2000,0
2.0,19,False,2000,0
2.5,19,False,2000,1
2.8,19,True,780,2
3.0,19,False,2000,3
3.2,19,False,2000,19
3.5,19,False,2000,19
3.8,19,False,2000,19
4.0,19,False,2000,19
4.5,19,False,2000,19
5.0,19,False,2000,19
6.0,19,False,2000,19
0.0,20,False,2000,0
1.0,20,False,2000,0
2.0,20,False,2000,0
2.5,20,True,1140,3
2.8,20,False,2000,2
3.0,20,True,731,3
3.2,20,False,2000,19
3.5,20,False,2000,19
3.8,20,False,2000,19
4.0,20,False,2000,19
4.5,20,False,2000,19
5.0,20,False,2000,19
6.0,20,False,2000,19
0.0,21,False,2000,0
1.0,21,False,2000,0
2.0,21,False,2000,0
2.5,21,False,2000,1
2.8,21,False,2000,1
3.0,21,False,2000,9
3.2,21,False,2000,19
3.5,21,False,2000,19
3.8,21,False,2000,19
4.0,21,False,2000,19
4.5,21,False,2000,19
5.0,21,False,2000,19
6.0,21,False,2000,19
0.0,22,False,2000,0
1.0,22,False,2000,0
2.0,22,False,2000,0
2.5,22,False,2000,1
2.8,22,False,2000,2
3.0,22,False,2000,13
3.2,22,False,2000,19
3.5,22,False,2000,19
3.8,22,False,2000,19
4.0,22,False,2000,19
4.5,22,False,2000,19
5.0,22,False,2000,19
6.0,22,False,2000,19
0.0,23,False,2000,0
1.0,23,False,2000,0
2.0,23,False,2000,0
2.5,23,False,2000,1
2.8,23,False,2000,2
3.0,23,True,708,2
3.2,23,True,708,2
3.5,23,True,664,3
3.8,23,True,625,3
4.0,23,True,625,3
4.5,23,False,2000,19
5.0,23,False,2000,19
6.0,23,False,2000,19
0.0,24,False,2000,0
1.0,24,False,2000,0
2.0,24,False,2000,0
2.5,24,False,2000,2
2.8,24,False,2000,1
3.0,24,False,2000,1
3.2,24,False,2000,19
3.5,24,False,2000,19
3.8,24,False,2000,19
4.0,24,False,2000,19
4.5,24,False,2000,19
5.0,24,False,2000,19
6.0,24,False,2000,19
0.0,25,False,2000,0
1.0,25,False,2000,0
2.0,25,False,2000,0
2.5,25,False,2000,1
2.8,25,False,2000,1
3.0,25,False,2000,2
3.2,25,False,2000,19
3.5,25,False,2000,19
3.8,25,False,2000,19
4.0,25,False,2000,19
4.5,25,False,2000,19
5.0,25,False,2000,19
6.0,25,False,2000,19
0.0,26,False,2000,0
1.0,26,False,2000,0
2.0,26,False,2000,0
2.5,26,False,2000,1
2.8,26,False,2000,1
3.0,26,False,2000,1
3.2,26,False,2000,19
3.5,26,False,2000,19
3.8,26,False,2000,19
4.0,26,False,2000,19
4.5,26,False,2000,19
5.0,26,False,2000,19
6.0,26,False,2000,19
0.0,27,False,2000,0
1.0,27,False,2000,0
2.0,27,False,2000,0
2.5,27,False,2000,1
2.8,27,False,2000,1
3.0,27,False,2000,1
3.2,27,False,2000,19
3.5,27,False,2000,19
3.8,27,False,2000,19
4.0,27,False,2000,19
4.5,27,False,2000,19
5.0,27,False,2000,19
6.0,27,False,2000,19
0.0,28,False,2000,0
1.0,28,False,2000,0
2.0,28,False,2000,0
2.5,28,False,2000,1
2.8,28,False,2000,3
3.0,28,True,963,4
3.2,28,False,2000,19
3.5,28,False,2000,19
3.8,28,False,2000,19
4.0,28,False,2000,19
4.5,28,False,2000,19
5.0,28,False,2000,19
6.0,28,False,2000,19
0.0,29,False,2000,0
1.0,29,False,2000,0
2.0,29,False,2000,0
2.5,29,False,2000,1
2.8,29,False,2000,1
3.0,29,False,2000,14
3.2,29,False,2000,19
3.5,29,False,2000,19
3.8,29,False,2000,19
4.0,29,False,2000,19
4.5,29,False,2000,19
5.0,29,False,2000,19
6.0,29,False,2000,19
0.0,30,False,2000,0
1.0,30,False,2000,0
2.0,30,False,2000,0
2.5,30,False,2000,2
2.8,30,False,2000,1
3.0,30,False,2000,2
3.2,30,False,2000,19
3.5,30,False,2000,19
3.8,30,False,2000,19
4.0,30,False,2000,19
4.5,30,False,2000,19
5.0,30,False,2000,19
6.0,30,False,2000,19
0.0,31,False,2000,0
1.0,31,False,2000,0
2.0,31,False,2000,0
2.5,31,False,2000,1
2.8,31,False,2000,5
3.0,31,False,2000,5
3.2,31,False,2000,19
3.5,31,False,2000,19
3.8,31,False,2000,19
4.0,31,False,2000,19
4.5,31,False,2000,19
5.0,31,False,2000,19
6.0,31,False,2000,19
0.0,32,False,2000,0
1.0,32,False,2000,0
2.0,32,False,2000,0
2.5,32,False,2000,1
2.8,32,False,2000,1
3.0,32,False,2000,13
3.2,32,False,2000,19
3.5,32,False,2000,19
3.8,32,False,2000,19
4.0,32,False,2000,19
4.5,32,False,2000,19
5.0,32,False,2000,19
6.0,32,False,2000,19
0.0,33,False,2000,0
1.0,33,False,2000,0
2.0,33,False,2000,0
2.5,33,True,737,2
2.8,33,True,791,2
3.0,33,True,791,2
3.2,33,True,680,3
3.5,33,False,2000,19
3.8,33,False,2000,19
4.0,33,False,2000,19
4.5,33,False,2000,19
5.0,33,False,2000,19
6.0,33,False,2000,19
0.0,34,False,2000,0
1.0,34,False,2000,0
2.0,34,False,2000,0
2.5,34,False,2000,1
2.8,34,False,2000,1
3.0,34,False,2000,8
3.2,34,False,2000,19
3.5,34,False,2000,19
3.8,34,False,2000,19
4.0,34,False,2000,19
4.5,34,False,2000,19
5.0,34,False,2000,19
6.0,34,False,2000,19
0.0,35,False,2000,0
1.0,35,False,2000,0
2.0,35,False,2000,0
2.5,35,False,2000,1
2.8,35,True,710,1
3.0,35,True,725,3
3.2,35,True,725,3
3.5,35,True,848,4
3.8,35,True,959,5
4.0,35,True,1511,13
4.5,35,True,1638,16
5.0,35,True,1638,16
6.0,35,True,1638,16
0.0,36,False,2000,0
1.0,36,False,2000,0
2.0,36,False,2000,0
2.5,36,False,2000,1
2.8,36,False,2000,6
3.0,36,False,2000,8
3.2,36,False,2000,19
3.5,36,False,2000,19
3.8,36,False,2000,19
4.0,36,False,2000,19
4.5,36,False,2000,19
5.0,36,False,2000,19
6.0,36,False,2000,19
0.0,37,False,2000,0
1.0,37,False,2000,0
2.0,37,False,2000,0
2.5,37,False,2000,2
2.8,37,True,875,4
3.0,37,False,2000,5
3.2,37,True,813,5
3.5,37,True,813,5
3.8,37,True,813,5
4.0,37,False,2000,19
4.5,37,False,2000,19
5.0,37,False,2000,19
6.0,37,False,2000,19
0.0,38,False,2000,0
1.0,38,False,2000,0
2.0,38,False,2000,0
2.5,38,False,2000,2
2.8,38,False,2000,3
3.0,38,False,2000,8
3.2,38,False,2000,19
3.5,38,False,2000,19
3.8,38,False,2000,19
4.0,38,False,2000,19
4.5,38,False,2000,19
5.0,38,False,2000,19
6.0,38,False,2000,19
0.0,39,False,2000,0
1.0,39,False,2000,0
2.0,39,False,2000,0
2.5,39,True,1048,2
2.8,39,False,2000,2
3.0,39,False,2000,6
