0,-361.09,0,3.23
1,-372.32,0,6.38
2,-309.59,0,9.82
3,-306.57,0,13.20
4,-308.16,0,16.58
5,-271.38,0,20.02
6,-453.87,0,23.41
7,-436.40,0,26.80
8,-487.19,0,30.22
9,-349.49,0,33.63
10,-311.74,0,37.10
11,-361.21,0,40.48
12,-271.16,0,43.91
13,-384.14,0,47.33
14,-236.09,0,50.71
15,-356.20,0,54.11
16,-363.87,0,57.51
17,-372.34,0,60.94
18,-281.37,0,64.38
19,-195.88,0,67.79
20,-350.23,0,71.20
21,-472.43,0,74.60
22,-430.47,0,78.03
23,-363.60,0,81.45
24,-341.44,0,84.91
25,-410.23,0,88.36
26,-326.96,0,91.78
27,-387.66,0,95.24
28,-400.02,0,98.70
29,-405.32,0,102.18
30,-362.09,0,105.76
31,-367.20,0,109.30
32,-312.03,0,112.76
33,-359.16,0,116.20
34,-205.67,0,119.67
35,-376.16,0,123.13
36,-270.17,0,126.61
37,-401.32,0,130.06
38,-299.98,0,133.55
39,-201.22,0,137.04
40,-411.90,0,140.52
41,-320.80,0,143.97
42,-360.41,0,147.45
43,-335.53,0,150.94
44,-351.03,0,154.42
45,-376.37,0,157.95
46,-328.43,0,161.41
47,-366.49,0,164.94
48,-263.21,0,168.44
49,-338.84,0,171.94
50,-267.37,0,175.49
51,-229.57,0,179.01
52,-286.28,0,182.55
53,-418.28,0,186.06
54,-462.15,0,189.52
55,-372.47,0,193.06
56,-383.89,0,196.62
57,-405.24,0,200.15
58,-381.11,0,203.87
59,-386.66,0,207.55
60,-396.54,0,211.10
61,-646.94,0,214.58
62,-368.47,0,218.10
63,-391.47,0,221.60
64,-274.41,0,225.16
65,-317.89,0,228.71
66,-360.62,0,232.42
67,-392.82,0,235.96
68,-279.36,0,239.54
69,-233.10,0,243.17
70,-227.20,0,246.68
71,-143.46,0,250.19
72,-258.14,0,253.66
73,-370.10,0,257.14
74,-373.29,0,260.68
75,-419.65,0,264.27
76,-151.41,0,267.84
77,-334.93,0,271.35
78,-472.47,0,274.98
79,-390.84,0,278.54
80,-536.98,0,282.12
81,-348.03,0,285.85
82,-393.51,0,289.43
83,-487.33,0,292.97
84,-328.22,0,296.53
85,-451.65,0,300.10
86,-314.61,0,303.70
87,-368.18,0,307.30
88,-448.58,0,310.81
89,-296.17,0,314.40
90,-454.95,0,317.94
91,-272.74,0,321.47
92,-360.24,0,325.06
93,-297.32,0,328.61
94,-339.07,0,332.14
95,-143.07,0,335.72
96,-372.18,0,339.25
97,-346.21,0,342.75
98,-321.95,0,346.30
99,-391.54,1,349.85
100,-271.39,1,353.37
101,-307.64,1,356.88
102,-255.83,1,360.40
103,-353.17,1,363.93
104,-383.14,1,367.49
105,-363.45,1,371.03
106,-312.70,1,374.56
107,-339.51,1,378.12
108,-330.44,1,381.67
109,-310.39,1,385.24
110,-354.31,1,388.79
111,-341.13,1,392.32
112,-336.68,1,395.89
113,-318.28,1,399.44
114,-278.88,1,402.95
115,-510.46,1,406.48
116,-263.14,1,410.00
117,-359.30,1,413.51
118,-375.74,1,417.13
119,-359.87,1,420.68
120,-299.00,1,424.25
121,-314.06,1,427.77
122,-344.21,1,431.26
123,-178.51,1,434.79
124,-302.89,1,438.35
125,-432.38,1,441.89
126,-311.04,1,445.44
127,-446.49,1,448.97
128,-288.33,1,452.50
129,-329.38,1,456.04
130,-416.57,1,459.57
131,-339.42,1,463.08
132,-351.61,1,466.61
133,-291.94,1,470.11
134,-287.14,1,473.68
135,-310.28,1,477.25
136,-256.63,1,480.86
137,-311.09,1,484.43
138,-375.46,1,488.10
139,-192.35,1,491.80
140,-307.99,1,495.39
141,-290.89,1,498.97
142,-301.81,1,502.60
